timestamp,requests_per_minute,api_latency_ms,error_rate,queue_depth
2026-01-05T00:00:00Z,253.90,130.14,0.00108,0
2026-01-05T00:05:00Z,245.46,118.14,0.00217,0
2026-01-05T00:10:00Z,225.57,125.19,0.00170,0
2026-01-05T00:15:00Z,209.05,124.63,0.00149,0
2026-01-05T00:20:00Z,214.72,117.54,0.00162,0
2026-01-05T00:25:00Z,235.27,113.18,0.00144,0
2026-01-05T00:30:00Z,225.87,123.87,0.00089,0
2026-01-05T00:35:00Z,207.19,101.28,0.00194,0
2026-01-05T00:40:00Z,196.12,107.12,0.00216,0
2026-01-05T00:45:00Z,235.23,132.36,0.00057,0
2026-01-05T00:50:00Z,242.00,98.25,0.00064,0
2026-01-05T00:55:00Z,205.43,101.25,0.00059,0
2026-01-05T01:00:00Z,239.65,126.06,0.00220,0
2026-01-05T01:05:00Z,243.26,107.29,0.00151,0
2026-01-05T01:10:00Z,274.76,129.52,0.00069,0
2026-01-05T01:15:00Z,234.74,123.34,0.00185,0
2026-01-05T01:20:00Z,238.08,129.02,0.00184,0
2026-01-05T01:25:00Z,243.79,103.49,0.00148,0
2026-01-05T01:30:00Z,249.63,104.51,0.00003,0
2026-01-05T01:35:00Z,251.02,125.98,0.00204,0
2026-01-05T01:40:00Z,231.70,105.99,0.00100,0
2026-01-05T01:45:00Z,258.17,124.13,0.00144,0
2026-01-05T01:50:00Z,226.44,127.73,0.00179,0
2026-01-05T01:55:00Z,219.54,98.61,0.00205,0
2026-01-05T02:00:00Z,226.46,123.22,0.00142,0
2026-01-05T02:05:00Z,309.62,131.87,0.00045,0
2026-01-05T02:10:00Z,234.45,111.77,0.00000,0
2026-01-05T02:15:00Z,245.52,118.76,0.00158,0
2026-01-05T02:20:00Z,210.56,129.89,0.00217,0
2026-01-05T02:25:00Z,224.03,106.57,0.00154,0
2026-01-05T02:30:00Z,236.05,104.56,0.00190,0
2026-01-05T02:35:00Z,226.62,100.92,0.00138,0
2026-01-05T02:40:00Z,233.92,95.96,0.00146,0
2026-01-05T02:45:00Z,287.09,134.61,0.00166,0
2026-01-05T02:50:00Z,238.04,127.64,0.00015,0
2026-01-05T02:55:00Z,248.79,103.01,0.00082,0
2026-01-05T03:00:00Z,215.42,103.70,0.00158,0
2026-01-05T03:05:00Z,274.90,137.99,0.00145,0
2026-01-05T03:10:00Z,252.79,95.35,0.00170,0
2026-01-05T03:15:00Z,261.58,100.68,0.00196,0
2026-01-05T03:20:00Z,209.89,115.46,0.00191,0
2026-01-05T03:25:00Z,282.33,147.12,0.00086,0
2026-01-05T03:30:00Z,225.82,110.58,0.00261,0
2026-01-05T03:35:00Z,246.00,108.85,0.00075,0
2026-01-05T03:40:00Z,214.05,118.15,0.00196,0
2026-01-05T03:45:00Z,242.83,125.03,0.00227,0
2026-01-05T03:50:00Z,254.55,115.83,0.00078,0
2026-01-05T03:55:00Z,258.83,120.27,0.00000,0
2026-01-05T04:00:00Z,281.21,111.55,0.00113,0
2026-01-05T04:05:00Z,245.13,112.38,0.00115,0
2026-01-05T04:10:00Z,225.89,126.04,0.00178,0
2026-01-05T04:15:00Z,282.13,112.80,0.00178,0
2026-01-05T04:20:00Z,215.28,110.02,0.00173,0
2026-01-05T04:25:00Z,250.22,129.55,0.00058,0
2026-01-05T04:30:00Z,248.63,114.39,0.00134,0
2026-01-05T04:35:00Z,263.75,139.56,0.00044,0
2026-01-05T04:40:00Z,269.23,124.60,0.00089,0
2026-01-05T04:45:00Z,257.38,126.76,0.00099,0
2026-01-05T04:50:00Z,270.46,98.34,0.00100,0
2026-01-05T04:55:00Z,271.11,108.59,0.00252,0
2026-01-05T05:00:00Z,281.85,115.60,0.00145,0
2026-01-05T05:05:00Z,286.16,124.79,0.00048,0
2026-01-05T05:10:00Z,291.40,141.94,0.00134,0
2026-01-05T05:15:00Z,331.79,125.49,0.00184,0
2026-01-05T05:20:00Z,295.24,110.61,0.00230,0
2026-01-05T05:25:00Z,291.13,142.93,0.00231,0
2026-01-05T05:30:00Z,304.64,135.69,0.00098,0
2026-01-05T05:35:00Z,319.43,128.80,0.00171,0
2026-01-05T05:40:00Z,242.47,112.33,0.00224,0
2026-01-05T05:45:00Z,323.48,136.50,0.00209,1
2026-01-05T05:50:00Z,385.59,144.70,0.00264,0
2026-01-05T05:55:00Z,296.83,110.67,0.00108,0
2026-01-05T06:00:00Z,307.12,124.40,0.00110,0
2026-01-05T06:05:00Z,335.78,140.71,0.00272,0
2026-01-05T06:10:00Z,326.49,126.48,0.00091,0
2026-01-05T06:15:00Z,349.54,161.00,0.00103,0
2026-01-05T06:20:00Z,367.21,112.51,0.00225,0
2026-01-05T06:25:00Z,346.91,116.52,0.00170,0
2026-01-05T06:30:00Z,363.44,107.39,0.00165,0
2026-01-05T06:35:00Z,405.52,139.76,0.00149,0
2026-01-05T06:40:00Z,391.21,110.92,0.00246,0
2026-01-05T06:45:00Z,368.20,137.02,0.00190,0
2026-01-05T06:50:00Z,361.46,125.33,0.00175,0
2026-01-05T06:55:00Z,366.35,127.88,0.00314,0
2026-01-05T07:00:00Z,387.37,123.54,0.00127,0
2026-01-05T07:05:00Z,465.87,144.08,0.00239,1
2026-01-05T07:10:00Z,435.86,141.44,0.00149,2
2026-01-05T07:15:00Z,442.69,153.60,0.00212,0
2026-01-05T07:20:00Z,463.18,138.94,0.00055,3
2026-01-05T07:25:00Z,424.63,142.81,0.00017,1
2026-01-05T07:30:00Z,492.06,143.74,0.00325,2
2026-01-05T07:35:00Z,493.34,147.84,0.00217,0
2026-01-05T07:40:00Z,512.01,152.29,0.00078,1
2026-01-05T07:45:00Z,499.04,157.36,0.00132,2
2026-01-05T07:50:00Z,483.18,131.16,0.00171,2
2026-01-05T07:55:00Z,512.46,143.18,0.00133,7
2026-01-05T08:00:00Z,491.13,150.05,0.00000,3
2026-01-05T08:05:00Z,505.09,161.21,0.00071,2
2026-01-05T08:10:00Z,503.88,141.41,0.00083,4
2026-01-05T08:15:00Z,543.51,127.30,0.00148,5
2026-01-05T08:20:00Z,570.10,152.66,0.00196,8
2026-01-05T08:25:00Z,576.66,155.23,0.00272,5
2026-01-05T08:30:00Z,554.76,142.85,0.00138,3
2026-01-05T08:35:00Z,603.77,155.76,0.00292,8
2026-01-05T08:40:00Z,578.54,151.95,0.00100,0
2026-01-05T08:45:00Z,606.75,163.13,0.00306,5
2026-01-05T08:50:00Z,618.26,165.27,0.00204,5
2026-01-05T08:55:00Z,609.87,154.20,0.00170,6
2026-01-05T09:00:00Z,650.65,153.77,0.00250,8
2026-01-05T09:05:00Z,613.65,164.12,0.00118,9
2026-01-05T09:10:00Z,651.25,154.10,0.00115,7
2026-01-05T09:15:00Z,675.98,154.09,0.00060,5
2026-01-05T09:20:00Z,637.83,168.88,0.00208,4
2026-01-05T09:25:00Z,639.83,151.97,0.00034,5
2026-01-05T09:30:00Z,695.00,168.98,0.00164,6
2026-01-05T09:35:00Z,663.74,162.57,0.00125,6
2026-01-05T09:40:00Z,640.69,147.29,0.00177,6
2026-01-05T09:45:00Z,703.26,185.70,0.00192,9
2026-01-05T09:50:00Z,689.67,177.94,0.00168,9
2026-01-05T09:55:00Z,621.04,167.60,0.00210,10
2026-01-05T10:00:00Z,730.51,171.01,0.00271,12
2026-01-05T10:05:00Z,660.91,157.09,0.00130,14
2026-01-05T10:10:00Z,687.31,154.89,0.00243,5
2026-01-05T10:15:00Z,718.34,180.35,0.00285,10
2026-01-05T10:20:00Z,689.69,167.88,0.00130,12
2026-01-05T10:25:00Z,741.54,171.02,0.00374,15
2026-01-05T10:30:00Z,731.17,158.03,0.00158,11
2026-01-05T10:35:00Z,713.09,164.02,0.00202,10
2026-01-05T10:40:00Z,708.43,170.23,0.00202,8
2026-01-05T10:45:00Z,730.75,184.58,0.00095,9
2026-01-05T10:50:00Z,725.09,179.39,0.00223,9
2026-01-05T10:55:00Z,702.28,183.86,0.00212,12
2026-01-05T11:00:00Z,748.76,175.18,0.00236,9
2026-01-05T11:05:00Z,693.67,152.99,0.00193,8
2026-01-05T11:10:00Z,724.80,166.66,0.00167,6
2026-01-05T11:15:00Z,758.62,175.10,0.00131,13
2026-01-05T11:20:00Z,748.55,163.87,0.00258,10
2026-01-05T11:25:00Z,733.57,165.52,0.00340,11
